Geographical_Area,School_Attendance,Sex,Locality,All ages,3-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Ghana,Never attended School,Both sexes,All Locality Types,5299884,357541,372718,235823,288642,415005,482332,479008,449370,412092,326646
Ghana,Never attended School,Male,All Locality Types,2058897,184103,190373,120478,130659,150724,170399,170489,163515,151939,122861
Ghana,Never attended School,Female,All Locality Types,3240987,173438,182345,115345,157983,264281,311933,308519,285855,260153,203785
Ghana,Attended in the Past,Both sexes,All Locality Types,8393922,0,0,37902,578016,1359838,1422859,1153508,955023,765962,606117
Ghana,Attended in the Past,Male,All Locality Types,4285155,0,0,16862,258275,622511,682289,589383,501582,415232,327021
Ghana,Attended in the Past,Female,All Locality Types,4108767,0,0,21040,319741,737327,740570,564125,453441,350730,279096
Ghana,Currently Attending,Both sexes,All Locality Types,8930304,1013152,2756234,2642315,1743331,548648,144920,46293,17010,8296,5335
Ghana,Currently Attending,Male,All Locality Types,4644919,511810,1399259,1340185,922178,327492,90525,30429,11671,5449,3093
Ghana,Currently Attending,Female,All Locality Types,4285385,501342,1356975,1302130,821153,221156,54395,15864,5339,2847,2242
Upper East,Never attended School,Both sexes,All Locality Types,429343,23478,26130,18490,22372,29871,35697,37679,37239,35503,30008
Upper East,Never attended School,Male,All Locality Types,178665,12238,13961,10394,10850,11389,12936,13632,14073,13400,11898
Upper East,Never attended School,Female,All Locality Types,250678,11240,12169,8096,11522,18482,22761,24047,23166,22103,18110
Upper East,Attended in the Past,Both sexes,All Locality Types,140735,0,0,1529,14289,28728,26292,18730,13599,9845,7603
Upper East,Attended in the Past,Male,All Locality Types,77197,0,0,797,6719,13599,13645,10925,8282,5891,4605
Upper East,Attended in the Past,Female,All Locality Types,63538,0,0,732,7570,15129,12647,7805,5317,3954,2998
Upper East,Currently Attending,Both sexes,All Locality Types,393894,39262,126112,117045,79291,23913,5835,1575,485,166,106
Upper East,Currently Attending,Male,All Locality Types,207778,19791,64055,60262,42741,15226,4070,1058,338,111,61
Upper East,Currently Attending,Female,All Locality Types,186116,19471,62057,56783,36550,8687,1765,517,147,55,45
       Binduri,Never attended School,Both sexes,All Locality Types,28515,2006,2513,1459,1431,1718,2137,2188,2274,2051,1828
       Binduri,Never attended School,Male,All Locality Types,11571,1044,1322,767,642,584,731,707,763,711,661
       Binduri,Never attended School,Female,All Locality Types,16944,962,1191,692,789,1134,1406,1481,1511,1340,1167
       Binduri,Attended in the Past,Both sexes,All Locality Types,5757,0,0,72,567,1107,924,718,545,432,354
       Binduri,Attended in the Past,Male,All Locality Types,3313,0,0,34,284,600,480,437,333,272,196
       Binduri,Attended in the Past,Female,All Locality Types,2444,0,0,38,283,507,444,281,212,160,158
       Binduri,Currently Attending,Both sexes,All Locality Types,22616,2013,7336,6971,4655,1236,299,85,13,4,2
       Binduri,Currently Attending,Male,All Locality Types,12363,1026,3849,3687,2682,830,219,57,7,4,1
       Binduri,Currently Attending,Female,All Locality Types,10253,987,3487,3284,1973,406,80,28,6,0,1
       Bolgatanga East,Never attended School,Both sexes,All Locality Types,8556,308,192,148,233,507,668,727,718,777,691
       Bolgatanga East,Never attended School,Male,All Locality Types,3148,170,107,86,122,193,231,282,280,281,231
       Bolgatanga East,Never attended School,Female,All Locality Types,5408,138,85,62,111,314,437,445,438,496,460
       Bolgatanga East,Attended in the Past,Both sexes,All Locality Types,6470,0,0,43,539,1297,1224,926,687,453,380
       Bolgatanga East,Attended in the Past,Male,All Locality Types,3630,0,0,26,248,627,634,546,445,256,244
       Bolgatanga East,Attended in the Past,Female,All Locality Types,2840,0,0,17,291,670,590,380,242,197,136
       Bolgatanga East,Currently Attending,Both sexes,All Locality Types,11002,1009,3218,3224,2400,811,228,77,24,6,4
       Bolgatanga East,Currently Attending,Male,All Locality Types,5783,508,1686,1658,1277,448,133,47,19,3,4
       Bolgatanga East,Currently Attending,Female,All Locality Types,5219,501,1532,1566,1123,363,95,30,5,3,0
       Bolgatanga Municipal,Never attended School,Both sexes,All Locality Types,28052,1157,1038,724,1101,1879,2307,2768,2775,2820,2268
       Bolgatanga Municipal,Never attended School,Male,All Locality Types,10440,615,552,363,530,670,747,873,986,996,814
       Bolgatanga Municipal,Never attended School,Female,All Locality Types,17612,542,486,361,571,1209,1560,1895,1789,1824,1454
       Bolgatanga Municipal,Attended in the Past,Both sexes,All Locality Types,25836,0,0,198,2026,5274,5118,3804,2827,1973,1464
       Bolgatanga Municipal,Attended in the Past,Male,All Locality Types,13626,0,0,99,908,2345,2461,2153,1647,1166,859
       Bolgatanga Municipal,Attended in the Past,Female,All Locality Types,12210,0,0,99,1118,2929,2657,1651,1180,807,605
       Bolgatanga Municipal,Currently Attending,Both sexes,All Locality Types,41271,3954,11448,11613,8847,3566,1137,380,167,70,50
       Bolgatanga Municipal,Currently Attending,Male,All Locality Types,20882,1999,5733,5748,4363,1924,694,221,116,44,21
       Bolgatanga Municipal,Currently Attending,Female,All Locality Types,20389,1955,5715,5865,4484,1642,443,159,51,26,29
       Bongo,Never attended School,Both sexes,All Locality Types,33160,1559,1371,943,1076,1929,2680,2848,3016,3044,2717
       Bongo,Never attended School,Male,All Locality Types,13308,832,723,565,514,660,867,920,1041,1034,1024
       Bongo,Never attended School,Female,All Locality Types,19852,727,648,378,562,1269,1813,1928,1975,2010,1693
       Bongo,Attended in the Past,Both sexes,All Locality Types,10234,0,0,141,1449,2478,2076,1226,805,525,405
       Bongo,Attended in the Past,Male,All Locality Types,5567,0,0,79,625,1121,1122,798,519,317,263
       Bongo,Attended in the Past,Female,All Locality Types,4667,0,0,62,824,1357,954,428,286,208,142
       Bongo,Currently Attending,Both sexes,All Locality Types,34328,3429,11166,10643,7046,1642,319,65,14,2,1
       Bongo,Currently Attending,Male,All Locality Types,17493,1688,5566,5293,3669,1001,215,50,7,2,1
       Bongo,Currently Attending,Female,All Locality Types,16835,1741,5600,5350,3377,641,104,15,7,0,0
       Builsa North Municipal,Never attended School,Both sexes,All Locality Types,22283,1066,1061,769,958,1451,1811,2107,2161,2015,1590
       Builsa North Municipal,Never attended School,Male,All Locality Types,9918,534,603,485,558,654,728,899,938,893,705
       Builsa North Municipal,Never attended School,Female,All Locality Types,12365,532,458,284,400,797,1083,1208,1223,1122,885
       Builsa North Municipal,Attended in the Past,Both sexes,All Locality Types,8660,0,0,98,907,1767,1613,1170,813,566,456
       Builsa North Municipal,Attended in the Past,Male,All Locality Types,4542,0,0,53,416,792,809,634,468,326,244
       Builsa North Municipal,Attended in the Past,Female,All Locality Types,4118,0,0,45,491,975,804,536,345,240,212
       Builsa North Municipal,Currently Attending,Both sexes,All Locality Types,21247,2101,6780,6131,4550,1304,260,70,29,8,7
       Builsa North Municipal,Currently Attending,Male,All Locality Types,11096,1072,3553,3048,2388,794,165,45,17,4,3
       Builsa North Municipal,Currently Attending,Female,All Locality Types,10151,1029,3227,3083,2162,510,95,25,12,4,4
       Builsa South,Never attended School,Both sexes,All Locality Types,18229,840,1130,992,1365,1414,1702,1624,1638,1530,1110
       Builsa South,Never attended School,Male,All Locality Types,8934,461,670,673,833,712,784,736,735,666,497
       Builsa South,Never attended School,Female,All Locality Types,9295,379,460,319,532,702,918,888,903,864,613
       Builsa South,Attended in the Past,Both sexes,All Locality Types,3619,0,0,85,535,757,645,438,283,228,152
       Builsa South,Attended in the Past,Male,All Locality Types,1827,0,0,42,234,317,312,238,155,128,84
       Builsa South,Attended in the Past,Female,All Locality Types,1792,0,0,43,301,440,333,200,128,100,68
       Builsa South,Currently Attending,Both sexes,All Locality Types,11672,1353,4055,3394,2198,488,129,45,5,1,2
       Builsa South,Currently Attending,Male,All Locality Types,5706,691,1945,1648,1037,278,78,23,1,1,2
       Builsa South,Currently Attending,Female,All Locality Types,5966,662,2110,1746,1161,210,51,22,4,0,0
       Nabdam,Never attended School,Both sexes,All Locality Types,14772,569,620,548,796,1212,1391,1330,1350,1306,1149
       Nabdam,Never attended School,Male,All Locality Types,6868,309,323,316,452,544,615,573,588,577,516
       Nabdam,Never attended School,Female,All Locality Types,7904,260,297,232,344,668,776,757,762,729,633
       Nabdam,Attended in the Past,Both sexes,All Locality Types,3777,0,0,51,502,785,625,429,308,244,205
       Nabdam,Attended in the Past,Male,All Locality Types,2168,0,0,31,253,369,358,263,198,161,135
       Nabdam,Attended in the Past,Female,All Locality Types,1609,0,0,20,249,416,267,166,110,83,70
       Nabdam,Currently Attending,Both sexes,All Locality Types,12580,1415,4269,3932,2289,537,117,13,4,3,0
       Nabdam,Currently Attending,Male,All Locality Types,6449,729,2100,1981,1220,319,83,9,4,3,0
       Nabdam,Currently Attending,Female,All Locality Types,6131,686,2169,1951,1069,218,34,4,0,0,0
       Talensi,Never attended School,Both sexes,All Locality Types,36097,1719,1757,1393,1833,2663,3080,3352,3111,3196,2668
       Talensi,Never attended School,Male,All Locality Types,16644,918,953,872,1017,1127,1329,1505,1420,1405,1185
       Talensi,Never attended School,Female,All Locality Types,19453,801,804,521,816,1536,1751,1847,1691,1791,1483
       Talensi,Attended in the Past,Both sexes,All Locality Types,9422,0,0,134,1111,2037,1715,1143,808,626,475
       Talensi,Attended in the Past,Male,All Locality Types,5416,0,0,85,544,1034,946,657,525,417,314
       Talensi,Attended in the Past,Female,All Locality Types,4006,0,0,49,567,1003,769,486,283,209,161
       Talensi,Currently Attending,Both sexes,All Locality Types,29189,3120,9865,8965,5724,1207,224,51,19,8,0
       Talensi,Currently Attending,Male,All Locality Types,15301,1600,4943,4557,3158,808,172,38,12,7,0
       Talensi,Currently Attending,Female,All Locality Types,13888,1520,4922,4408,2566,399,52,13,7,1,0
